judul,artist,file_audio,file_lirik,file_poster,tahun,genre 1,Era
Camellia II,Ebiet G Ade,852,852,852,1979,Pop,1970'
Cita Cita Kecil si Anak Desa,Ebiet G Ade,853,853,853,1979,Pop,1970'
Nyanyian Ombak,Ebiet G Ade,854,854,854,1979,Pop,1970'
Cinta di Kereta Biru Malam,Ebiet G Ade,855,855,855,1979,Pop,1970'
Mimpi di Parang Tritis,Ebiet G Ade,856,856,856,1979,Pop,1970'
Hidup III,Ebiet G Ade,857,857,857,1979,Pop,1970'
Kontradiksi di Dalam,Ebiet G Ade,858,858,858,1979,Pop,1970'
Frustasi,Ebiet G Ade,859,859,859,1979,Pop,1970'
Sajak Pendek Bagi IR,Ebiet G Ade,860,860,860,1979,Pop,1970'
Lagu untuk Sebuah Nama,Ebiet G Ade,861,861,861,1979,Pop,1970'
Camellia I,Ebiet G Ade,862,862,862,1979,Pop,1970'
Pesta,Ebiet G Ade,863,863,863,1979,Pop,1970'
Nasihat Pengemis untuk Istri ,Ebiet G Ade,864,864,864,1979,Pop,1970'
Dia Lelaki Ilham dari Sorga,Ebiet G Ade,865,865,865,1979,Pop,1970'
Jakarta I,Ebiet G Ade,866,866,866,1979,Pop,1970'
Hidup I,Ebiet G Ade,867,867,867,1979,Pop,1970'
Hidup II,Ebiet G Ade,868,868,868,1979,Pop,1970'
Berjalan di Hutan Cemara,Ebiet G Ade,869,869,869,1979,Pop,1970'
Episode Cinta yang Hilang,Ebiet G Ade,870,870,870,1979,Pop,1970'
Mega Bhuana,Fariz RM,871,871,871,1979,Jazz,1970'
Selangkah ke Seberang,Fariz RM,872,872,872,1979,Jazz,1970'
Cermin Noda,Fariz RM,873,873,873,1979,Jazz,1970'
Selama,Fariz RM,874,874,874,1979,Jazz,1970'
Dirimu,Fariz RM,875,875,875,1979,Jazz,1970'
Bisik Perindu,Fariz RM,876,876,876,1979,Jazz,1970'
Fajar yang Terpaksa,Fariz RM,877,877,877,1979,Jazz,1970'
Kutuk Seribu Dewa,Fariz RM,878,878,878,1979,Jazz,1970'
Cinta Kian Menepi,Fariz RM,879,879,879,1979,Jazz,1970'
Sakura,Fariz RM,880,880,880,1980,Jazz,1970'
Belenggu Perjalanan,Fariz RM,881,881,881,1980,Jazz,1970'
Semusim,Fariz RM,882,882,882,1980,Jazz,1970'
Suasana,Fariz RM,883,883,883,1980,Jazz,1970'
Huma di Atas Bukit,God Bless,884,884,884,1975,Rock,1970'
Rock di Udara,God Bless,885,885,885,1975,Rock,1970'
Sesat,God Bless,886,886,886,1975,Rock,1970'
Gadis Binal,God Bless,887,887,887,1975,Rock,1970'
Setan Tertawa,God Bless,888,888,888,1975,Rock,1970'
She Passed Away,God Bless,889,889,889,1975,Rock,1970'
Begadang,Rhoma Irama,890,890,890,1973,Pop,1970'
Sampai Pagi,Rhoma Irama,891,891,891,1973,Pop,1970'
Kampungan,Rhoma Irama,892,892,892,1973,Pop,1970'
Ya Le Le,Rhoma Irama,893,893,893,1973,Pop,1970'
Tak Tega,Rhoma Irama,894,894,894,1973,Pop,1970'
Sya La La,Rhoma Irama,895,895,895,1973,Pop,1970'
Darah Muda,Rhoma Irama,896,896,896,1975,Pop,1970'
Apa Kabar,Rhoma Irama,897,897,897,1975,Pop,1970'
Kematian,Rhoma Irama,898,898,898,1975,Pop,1970'
Cuma Kamu,Rhoma Irama,899,899,899,1975,Pop,1970'
Awet Muda,Rhoma Irama,900,900,900,1975,Pop,1970'
Dilarang Melarang,Rhoma Irama,901,901,901,1975,Pop,1970'
Api dan Lautan,Rhoma Irama,902,902,902,1975,Pop,1970'
Rupiah,Rhoma Irama,903,903,903,1975,Pop,1970'
Beku,Rhoma Irama,904,904,904,1975,Pop,1970'
Rambate Rata Hayo,Rhoma Irama,905,905,905,1975,Pop,1970'
Dendam,Rhoma Irama,906,906,906,1975,Pop,1970'
Air Mata Darah,Rhoma Irama,907,907,907,1975,Pop,1970'
Hello Hello,Rhoma Irama,908,908,908,1975,Pop,1970'
Penasaran,Rhoma Irama,909,909,909,1974,Pop,1970'
Kelana,Rhoma Irama,910,910,910,1974,Pop,1970'
Asam Garam,Rhoma Irama,911,911,911,1974,Pop,1970'
Engkau,Rhoma Irama,912,912,912,1974,Pop,1970'
Gembala,Rhoma Irama,913,913,913,1974,Pop,1970'
Rujuk,Rhoma Irama,914,914,914,1974,Pop,1970'
Teman,Rhoma Irama,915,915,915,1974,Pop,1970'
Satu Antara Dua,Rhoma Irama,916,916,916,1974,Pop,1970'
Musik,Rhoma Irama,917,917,917,1976,Pop,1970'
Lapar,Rhoma Irama,918,918,918,1976,Pop,1970'
Masya Allah,Rhoma Irama,919,919,919,1976,Pop,1970'
Nyanyian Setan,Rhoma Irama,920,920,920,1976,Pop,1970'
Jeritan Seberang,Chrisye,921,921,921,1977,Pop,1970'
Jurang Pemisah,Chrisye,922,922,922,1977,Pop,1970'
Sirna,Chrisye,923,923,923,1977,Pop,1970'
Mesin Kota,Chrisye,924,924,924,1977,Pop,1970'
Putri Malam,Chrisye,925,925,925,1977,Pop,1970'
Gerutu Menggerutu,Chrisye,926,926,926,1977,Pop,1970'
Juwita,Chrisye,927,927,927,1978,Pop,1970'
Sabda Alam,Chrisye,928,928,928,1978,Pop,1970'
Duka Sang Bahaduri,Chrisye,929,929,929,1978,Pop,1970'
Cinta Secinta,Chrisye,930,930,930,1978,Pop,1970'
Kala Sang Surya Tenggelam,Chrisye,931,931,931,1978,Pop,1970'
Nada Asmara,Chrisye,932,932,932,1978,Pop,1970'
Citra Hitam,Chrisye,933,933,933,1978,Pop,1970'
Adakah,Chrisye,934,934,934,1978,Pop,1970'
Anak Jalanan,Chrisye,935,935,935,1978,Pop,1970'
Kehidupanku,Chrisye,936,936,936,1979,Pop,1970'
Lestariku,Chrisye,937,937,937,1979,Pop,1970'
Percik Pesona,Chrisye,938,938,938,1979,Pop,1970'
Dewi Khayal,Chrisye,939,939,939,1979,Pop,1970'
Cakrawala,Chrisye,940,940,940,1979,Pop,1970'
Dirimu dan Diriku,Chrisye,941,941,941,1979,Pop,1970'
Indahnya Alam,Chrisye,942,942,942,1979,Pop,1970'
Angkuh,Chrisye,943,943,943,1979,Pop,1970'
Kenang Biru,Chrisye,944,944,944,1979,Pop,1970'
Damba di Dada,Chrisye,945,945,945,1979,Pop,1970'
Marlina,Chrisye,946,946,946,1979,Pop,1970'
Lagu Putih,Chrisye,947,947,947,1979,Pop,1970'
Kenang Kenangan,Chrisye,948,948,948,1979,Pop,1970'
Puspa Indah,Chrisye,949,949,949,1979,Pop,1970'
Lakon Manusia,Chrisye,950,950,950,1979,Pop,1970'
Zakia,Achmad Albar,951,951,951,1979,Pop,1970'
Karena Harta,Achmad Albar,952,952,952,1979,Pop,1970'
Mawar Merah,Achmad Albar,953,953,953,1979,Pop,1970'
Raja Kumbang,Achmad Albar,954,954,954,1979,Pop,1970'
Pernyataan,Achmad Albar,955,955,955,1979,Pop,1970'
Obral,Achmad Albar,956,956,956,1979,Pop,1970'
Tuhan Ada,Achmad Albar,957,957,957,1979,Pop,1970'
Beku,Achmad Albar,958,958,958,1979,Pop,1970'
Raja Sehari,Achmad Albar,959,959,959,1979,Pop,1970'
Syair Kehidupan,Achmad Albar,960,960,960,1980,Rock,1970'
Kugapai Cintamu,Achmad Albar,961,961,961,1980,Rock,1970'
Yang Hilang,Achmad Albar,962,962,962,1980,Rock,1970'
Harapan Bunda,Achmad Albar,963,963,963,1980,Rock,1970'
Langkah Pengembara,Achmad Albar,964,964,964,1980,Rock,1970'
Kemana,Achmad Albar,965,965,965,1980,Rock,1970'
Suka Duka,Achmad Albar,966,966,966,1980,Rock,1970'
Kepada Perang,Achmad Albar,967,967,967,1980,Rock,1970'
Prahara,Achmad Albar,968,968,968,1980,Rock,1970'
Don Juan,Achmad Albar,969,969,969,1980,Rock,1970'
Aku Harus Jadi Superstar,Achmad Albar,970,970,970,1978,Rock,1970'
Generasi Frustasi,Iwan Fals,971,971,971,1978,Pop,1970'
Dongeng Tidur,Iwan Fals,972,972,972,1978,Pop,1970'
Imitasi,Iwan Fals,973,973,973,1978,Pop,1970'
Kisah Sepeda Motorku,Iwan Fals,974,974,974,1978,Pop,1970'
Joni Kesiangan,Iwan Fals,975,975,975,1978,Pop,1970'
Pengamen,Iwan Fals,976,976,976,1978,Pop,1970'
Jaman Edan,Iwan Fals,977,977,977,1978,Pop,1970'
Pie Pie,Iwan Fals,978,978,978,1978,Pop,1970'
Disco Cangkeling,Iwan Fals,979,979,979,1978,Pop,1970'
Kopral,Iwan Fals,980,980,980,1979,Pop,1970'
Ambulan Zig Zag,Iwan Fals,981,981,981,1979,Pop,1970'
Aku Berjalan,Iwan Fals,982,982,982,1979,Pop,1970'
Alasan,Iwan Fals,983,983,983,1979,Pop,1970'
Bencana Alam,Iwan Fals,984,984,984,1979,Pop,1970'
Gaya Travolta,Iwan Fals,985,985,985,1979,Pop,1970'
Ibu,Iwan Fals,986,986,986,1979,Pop,1970'
Inspirasi,Iwan Fals,987,987,987,1979,Pop,1970'
Mak,Iwan Fals,988,988,988,1979,Pop,1970'
Pemborong Jalan,Iwan Fals,989,989,989,1979,Pop,1970'
Perjalanan,Iwan Fals,990,990,990,1979,Pop,1970'
Wanita Tiruan,Iwan Fals,991,991,991,1979,Pop,1970'
3 Bulan,Iwan Fals,992,992,992,1980,Pop,1970'
Surat Paman di Desa,Iwan Fals,993,993,993,1980,Pop,1970'
Tengkulak,Iwan Fals,994,994,994,1980,Pop,1970'
Model Gombrang,Iwan Fals,995,995,995,1980,Pop,1970'
Sarjana Muda,Iwan Fals,996,996,996,1980,Pop,1970'
Kan Adakah,Iwan Fals,997,997,997,1980,Pop,1970'
Elegi Esok Pagi,Ebiet G Ade,998,998,998,1980,Pop,1970'
Camellia III,Ebiet G Ade,999,999,999,1980,Pop,1970'
Dosa Siapa? Ini Dosa Siapa?,Ebiet G Ade,1000,1000,1000,1980,Pop,1970'
Kalian Dengarkan Keluhanku,Ebiet G Ade,1001,1001,1001,1980,Pop,1970'
